article_id,predict.mg,predict.kd,predict.correct,s8starred_i.mg,s8starred_i.kd,s8starred_i.correct,s8starred_i_ev.mg,s8starred_i_ev.kd
Abboo2018bank0207,,,,Yes,Partially,Partially,"""The baseline assessment includes electronic signed consent, self-completed touch-screen questionnaire, computer-assisted interview, physical and functional measures, and blood, urine and saliva sample collection."" and gives more detail.","Missing sources for smoking, alcohol and education ""In the self-reported AS case-control study, AS was identified by asking the participants whether they had been told by a doctor that they have some sort of severe non-cancer illness or disability. If the participant was uncertain of the type of illness they had, they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree, then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability were marked as ""unclassifiable""....Oral conditions were defined according to the selfreported data on mouth/teeth or dental problems. The participants used a touchscreen to answer the question ""Do you have any of the following? (You can select more than one answer)”. The possible answers were: Mouth ulcers, painful gums, bleeding gums, loose teeth, toothache, and dentures."""
Ander2018ysis.022,,,,Yes,Yes,Yes,"""Dietary information was collected using a self-completed food frequency questionnaire."" also ives more specifics","""UK Biobank recruited 273,466 women aged 40â€“69 years from the general population between 2007 and 2010. Baseline socioeconomic and lifestyle information were collected via a self-completed, touch-screen questionnaire and anthropometric measurements taken by trained staff. Self-reported moderate and vigorous physical activity were converted to METsÂ·minÂ·week-1, and dichotomised to inactive (<600 METsÂ·minÂ·week-1) and active (=600 METsÂ·minÂ·week-1). Dietary information was collected using a self-completed food frequency questionnaire. Frequency of beef, pork and lamb intake (excluding processed meat) and frequency of processed meat intake were recorded. These were converted into probabilities of daily consumption, multiplied by normal portion sizes [7] and then weighted by size of portion: small 0.5, medium 1.0 or large 1.5. We then derived four categories of red/processed meat intake: zero intake and tertiles of consumption for those consuming some. Follow-up information (min 5.33 years and max 9.89 years) on the date of first diagnosis of cancer was obtained via linkage to three routine administrative databases: cancer registrations, death certificates and hospital admissions. Date and cause of death were obtained from death certificates held by the National Health Service (NHS) Information Centre (England and Wales) and the NHS Central Register Scotland (Scotland). Date and cause of hospital admissions were obtained from the Health Episode Statistics (HES) for England and Wales and the Scottish Morbidity Record 01 (SMR01) for Scotland. At the time of analysis, mortality data were available up to 31 January 2016 and hospital admission and cancer registry data until 31 March 2015. Therefore, follow-up was censored at 31 January 2016 or date of death if this occurred earlier. There were 54 participants who withdrew consent from UK Biobank at the time of analysis. All databases used the International Classification of Diseases and we defined breast cancer as ICD10 code C50."""
Boaky2018antsx102,,,,Yes,Yes,Yes,both gives questions and says it was from a validated questionnaire,"""UK Biobank36 recruited 502 655 men and women aged 40–69 years from the general population between 2006 and 2010. Participants attended one of 22 assessment centres across the UK where they completed a touch-screen questionnaire.37 A validated questionnaire was used to obtain information on a number of variables such as socio-demographic characteristics (age, sex and ethnicity), lifestyle factors (smoking behaviour), occupational information (frequency of shift work) and self-reported health (stress, depression and health rating) from the participants."""
Cassi2017ants7982,,,,Yes,Yes,Yes,"""Sociodemographic, smoking, alcohol, physical activity, dietary intake and sleep duration data were collected from the touchscreen questionnaire. Smoking and alcohol status were obtained by asking participants to respond to ‘Prefer not to answer’, ‘Never’, ‘Previous’ and ‘Current’. Physical activity was assessed using adapted questions from the validated short International Physical Activity Questionnaire (IPAQ)[17] which collects information on the frequency and duration of time spent in walking, moderate and vigorous activity in the previous 7 days.""","""Baseline measurements
Sociodemographic, smoking, alcohol, physical activity, dietary intake and sleep duration data were collected from the touchscreen questionnaire. Smoking and alcohol status were obtained by asking participants to respond to ‘Prefer not to answer’, ‘Never’, ‘Previous’ and ‘Current’. Physical activity was assessed using adapted questions from the validated short International Physical Activity Questionnaire (IPAQ)[17] which collects information on the frequency and duration of time spent in walking, moderate and vigorous activity in the previous 7 days. Data processing rules for IPAQ were followed [18]. According to the current UK physical activity guidelines [19] we identified those who reached 150 minutes of moderate or 75 minutes of vigorous activity per week, or a combination of both. Walking was considered as moderate activity. Participants reported how long they spent watching television (TV) on a typical day. This was asked twice to those who responded >8 hours, therefore high values were deemed robust. Those who reported more than 3 hours/day were identified based upon previous literature [20]. Diet was reported using the Food Frequency Questionnaire [21] and healthy eating was assessed using the UK’s fruit and vegetable guidelines of 5 portions per day [21]. The townsend deprivation index combines information on housing, employment, car availability and social class, with higher values representing lower socioeconomic status. This was calculated before participants joined the UK Biobank and was based on the preceding national census data, with each participant assigned a score corresponding to the home postcode [16].

To measure sleep duration, participants were asked ‘About how many hours sleep do you get in every 24 hours?’ (please include naps). This was asked twice to those who responded >12 hours. As sleep shows a ‘U’ shaped relationship with CM risk [22], we created 3 sleep duration groups of <6 (poor sleep), 6–9 (good sleep), and >9 hours (poor sleep) per night.

Body mass index (BMI) was calculated from: weight (kg)/height(m)2. Weight was measured using the Tanita BC-418MA body composition analyser, to the nearest 0.1 kg and height was measured using a Seca 202 height measure. Waist circumference (cm) was measured at the level of the umbilicus using a Wessex non-stretchable sprung tape measure, which has previously been adopted in large health studies [23]. Participants were asked to adjust clothing for accuracy, and all staff were trained in taking these measures. Self-report disease status (including Sleep Apnoea and hypertension) and medication use was obtained from participants during the touchscreen questionnaire, which was then entered and verified by a UK Biobank nurse after further questioning during the verbal interview. The interview provided extra information such as time of diagnosis, and if the trained nurse decides that the illness or medication had been incorrectly selected, they could remove the selection.

Four groups were created depending on self-reported medication use"""
Celis2017tudy0921,,,,Yes,Yes,Yes,"""they completed a touch screen questionnaire, had physical measurements taken,
 and provided biological samples as previously described (12,13).""","""Sociodemographic and lifestyle characteristics
Postmenopausal women completed a touchscreen questionnaire (available online: http://www.ukbiobank.ac.uk/resources/) including questions on sociodemographic characteristics, health status, and lifestyle habits. Participants self‐reported their age, sex, and ethnicity. Ethnicity was categorized as White or other (mixed, Asian, Black, Chinese, and other). A Townsend deprivation score was computed for all participants using information about employment, car and home ownership, and household overcrowding.20 A higher Townsend deprivation score is indicative of greater levels of an area's socio‐economic deprivation.20 Participants reported their smoking status (never, previous, or current) and their alcohol intake (never, previous, or current). Data on physical activity including frequency (number of days in a typical week that participants performed 10 min or more of walking, moderate, and vigorous physical activity) and duration (minutes spent on each activity category on a typical day) were collected by asking questions similar to those included in the International Physical Activity Questionnaire.21 For each activity category, the frequency was multiplied by the duration and the metabolic equivalent value (3.3 for walking, 4.0 for moderate physical activity, and 8.0 for vigorous physical activity), which were then summed to generate a score of metabolic equivalent minutes of physical activity per week for each participant.

Medical history and current medications
Self‐reported data on medical conditions were collected at baseline by asking participants whether a doctor has diagnosed any cancer or diabetes. Participants reported if they had undergone bilateral oophorectomy or hysterectomy or were on hormone replacement therapy (HRT). Self‐reported data on fracture occurrence (yes or no) over the past 5 years were also collected. Information on X‐ray verification was unavailable.

Quantitative heel ultrasound
Quantitative ultrasound of the heel was performed using the Sahara Clinical Sonometer (Hologic, Bedford, Massachusetts) according to a standardized protocol. Trained staff checked if participants were able to undertake both left and right heel ultrasound measurement. Those with open wounds, breaks or sores around the heel, or metal parts (such as pins) in the heel did not undertake measurement of that heel. Each centre used the same machine model, and quality control was performed with a phantom on a daily basis as per manufacturer's instructions. The mean values for BMDs (g/cm2) and BMD T‐scores for the left and right heel were computed.

Anthropometric and bioelectrical impedance measurements
Height was measured using the SECA 240 height measure (SECA, Hamburg, Germany). Participants removed their socks and footwear and stood flat footed with their heels against a back plate. Body mass was measured to the nearest 0.1 kg using a segmental body composition analyser (Tanita BC‐418MA, Tokyo, Japan). Height and weight were used to calculate BMI as weight (kg) divided by height squared (m2). Waist circumference was measured at the level of the umbilicus using a tape measure. All these measurements were performed by trained staff....Assessment of outcome
Via the Health and Social Care Information Centre for English and Welsh participants and the Information Services Department for Scottish participants, we ascertained the diagnosis of osteoporosis with or without a pathological fracture until 31 January 2016 for England and Wales and 30 November 2015 for Scotland. Diagnoses of the events were confirmed by primary care physicians and coded according to the World Health Organization's International Classification of Diseases 10th Revision (ICD‐10: M80‐M82)."""
Celis2018ants1651,,,,Partially-External,Partially-External,Partially-External,"""where they completed a touch screen questionnaire, had physical measurements taken, and provided biological samples, as described in detail elsewhere."" ""as previously described""","Missing sources for ethnicity and smoking but links to protocol for more details on measuremnt""Date of death and date and cause of hospital admissions were identified as described previously...Grip strength was measured as previously described,19 and the mean of the right and left values was expressed in absolute units (kg) for subsequent analysis. Physical activity was based on self report, using the International Physical Activity Questionnaire short form,20 and total physical activity was calculated as the sum of walking and moderate and vigorous activity, measured as metabolic equivalents (MET-min/week). We derived total time spent in sedentary behaviours from the sum of self reported time spent driving, using a computer, and watching television.

Dietary information was collected via the Oxford WebQ, a web based 24 hour recall questionnaire that was developed specifically for use in large population studies.2122 We derived area based socioeconomic status from the postcode of residence, using the Townsend score.23 We calculated age from dates of birth and baseline assessment. We categorised smoking status into never, former, and current smoking. We collected medical history (physician’s diagnosis of depression, stroke, angina, heart attack, hypertension, cancer, diabetes, hypertension, chronic obstructive pulmonary disease, or longstanding illness) from the self completed baseline assessment questionnaire. Trained nurses measured height and body weight during the initial assessment centre visit. We calculated body mass index as weight/height2 and used the World Health Organization’s criteria to classify it into categories of underweight (<18.5), normal weight (18.5 to <25), overweight (25 to <30), obese (30 to <35), obesity class 2 (35 to <40), and obesity class 3 (≥40). Trained nurses measured body composition (body fat and fat free mass) by using bio-impedance. Further details of these measurements can be found in the UK Biobank’s online protocol (http://www.ukbiobank.ac.uk)."""
Cook2018banky224,,,,Yes,Yes,Yes,gives everything,"""Participants attended an assessment centre in the UK and completed a detailed questionnaire on a touch-screen computer about their lifestyle, including smoking status (never, past or current) and frequency of alcohol consumption (daily or almost daily, 2–3 times per week, 1–2 times per week, 1–3 times per month, special occasions only or never). Participants were subsequently interviewed by a trained research nurse to determine whether they had been diagnosed with any medical conditions and their medication use. Physical measurements were also taken, including blood pressure, weight and height, which were used to calculate BMI. The Townsend deprivation index was calculated for each participant immediately prior to recruitment to the UK Biobank based on the preceding national census output areas [26]....Physical activity was recorded using the International Physical Activity Questionnaire, a validated physical activity instrument [27]. Participants were asked about the number of days per week and the number of minutes per day they typically spend doing physical activity in bouts of ⩾10 min at three levels: walking, moderate (e.g. cycling at a normal pace) and vigorous (e.g. aerobics). Participants were categorized as having a low, moderate or high physical activity level based on the International Physical Activity Questionnaire algorithm....Participants were asked whether they had ever been told by a doctor that they had certain common medical conditions, including heart attack, angina, stroke, high blood pressure, diabetes (any type) and emphysema/chronic bronchitis. Other co-morbidities, including chronic obstructive pulmonary disease and depression were recorded during the interview with a research nurse. Morbidities were coded in the UK Biobank database using a hierarchical structure loosely based on International Classification of Diseases-10 (ICD-10) codes [30]...Participants answering yes to the question ‘Has a doctor ever told you that you have had any other serious medical conditions or disabilities?’ were asked the following question during the interview: ‘in the touch-screen questionnaire, you selected that you have been told by a doctor that you have other serious illnesses or disabilities. Could you now tell me what they are?’...During the interview, details of medications being used at the time of the assessment were recorded by the research nurse, by selecting the drug name from a pre-specified list."""
Davie2018bank79-y,Yes,Yes,No,,,,,
Drega2017ders1214,,,,Yes,Yes,Yes,gives all,"""Self-report of a clinician diagnosis of CHD (ie, myocardial infarction, angina), stroke, T2DM, PAD and VTE events were used to develop the primary outcome measures for the cross-sectional investigation....Official data from the National Health Service’s Centre Registry were used to develop two binary (yes/no) secondary outcomes measures: all-cause mortality and CVD-related mortality...The study exposures were represented by seven chronic inflammatory disorders, namely RA, psoriasis, Crohn’s disease, UC, SLE, systemic vasculitis and AS. These measures were based on participants self-report of a clinician diagnosis and were developed into separate binary variables (yes/no). ....Because of the cross-sectional nature of the data at baseline, the study covariates included sociodemographic characteristics, specifically age (continuous measure), gender (female vs male), deprivation, education and ethnicity. Deprivation was based on Townsend deprivation indices derived from aggregated data on car ownership, household overcrowding, owner occupation and unemployment (higher scores represent higher degree of deprivation). For the present study, participants were grouped into quintiles of deprivation. Education (options included degree, Advanced(A) levels/Advanced Subsidiary(AS) levels, O levels/General Certificate of Secondary Education (GCSE), Certificate of Secondary Education (CSEs), National Vocational Qualification (NVQ)/Higher National Diploma (HND)/Higher National Certificate (HNC) or none) was included as a binary variable comparing participants with a degree or professional qualification with those with other qualifications.15 Self-reported ethnicity classified participants into white, Asian (eg, India, Pakistan or Bangladesh), Chinese, black, or mixed/other. Lifestyle factors (eg, smoking, physical activity, diet, obesity) are important risk factors for CVD, however, because these were measured at the date of assessment adjusting for them in the analysis may have introduced bias (their value is likely to have changed over time). As educational level is related to lifestyle factors, we adjusted for this factor in the analyses. Two additional binary (yes/no) covariates were included in the sensitivity analyses: self-reported antihypertensive therapy and lipid-lowering therapy. Data on the prevalence of atherogenic risk factors (eg, smoking, body mass index, hypertension, dyslipidaemia) are provided in the online supplementary table S1.""



"
Elova2017tudy75-0,,,,Yes,Yes,Yes,gives specific questions and deaths register. (not touchscreen though),"""For the UK Biobank project, baseline questionnaires and physical measures (eg, standard anthropometry and spirometry) were collected and blood and urine samples were stored, as described elsewhere.11 502<U+2008>656 individuals were recruited (5% of the eligible population) in the UK Biobank. This study was done under generic approval from the National Health Service National Research Ethics Service (June 17, 2011; Ref 11/NW/0382). Participants provided electronic informed consent for the baseline assessments and the register linkage. Procedures The social isolation scale used by the UK Biobank was constructed from three questions: (1) â€œIncluding yourself, how many people are living together in your household? Include those who usually live in the house such as students living away from home during term time, partners in the armed forces or professions such as pilotsâ€ (1 point for living alone); (2) â€œHow often do you visit friends or family or have them visit you?â€ (1 point for friends and family visit less than once a month); and (3) â€œWhich of the following [leisure/social activities] do you engage in once a week or more often? You may select more than oneâ€ (1 point for no participation in social activities at least weekly). Thus, individuals could score a total of 0â€“3; an individual was defined as socially isolated if he or she scored 2 or 3; those who scored 0 or 1 were classified as not isolated. Similar scales have been used previously in other UK studies.12 Loneliness was assessed with two questions: â€œDo you often feel lonely?â€ (no=0, yes=1) and â€œHow often are you able to confide in someone close to you?â€ (0=almost daily to about once a month; 1=once every few months to never or almost never). An individual was defined as lonely if he or she scored 2, and not lonely if he or she scored 0 or 1. Similar questions are included in scales such as the revised UCLA Loneliness Scale.13 Follow-up for all deaths irrespective of cause started at inclusion in the UK Biobank study (from national death registers) and ended on Aug 14, 2015, or upon death, for all participants. The cause-specific-mortality International Classification of Diseases (ICD) codes were as follows: neoplasms (C00â€“D48), diseases of the circulatory system (I05â€“I89), and other diseases (all remaining ICD-10 codes). Details of the assessments of participants' variables are publicly available.14 Briefly, participants completed several touch-screen computer-based questionnaires, and then had a face-to-face interview with a trained researcher. The information collected included basic demographics (sex and age), ethnic origin (white vs other), socioeconomic factors (educational attainment, household income, and postcode of residence with the corresponding Townsend deprivation index score), and chronic diseases (diabetes, cardiovascular disease, cancer, and other long-standing illness, disability, or infirmity). The Townsend deprivation index is an integrated neighbourhood-level measure of unemployment, non-car ownership, non-home ownership, and household overcrowding across the UK.15 To assess biological factors, trained data collectors measured height and weight in all participants during clinic attendance using standard operating procedures, and the body-mass index (BMI) was subsequently calculated. Procedures for measuring systolic and diastolic blood pressure and handgrip strength are reported in the UK Biobank protocol, which is available online.11 Behavioural factors, including cigarette smoking (current smoker [yes or no]; ex-smoker [yes or no]), physical activity (moderate and vigorous), and alcohol intake frequency (at least three times a week vs twice a week or less) were self-reported on a questionnaire. Psychological factors comprised current depressive symptoms and general cognitive capacity. Depressive symptoms were measured using the frequency of four items from the Patient Health Questionnaire (PHQ):16, 17 (1) depressed mood, (2) disinterest or absence of enthusiasm, (3) tenseness or restlessness, and (4) tiredness or lethargy in the previous 2 weeks. General cognitive capacity (numeric memory, verbalâ€“numerical reasoning, reaction time, and visual memory) was assessed by use of a touch-screen application.18 Self-rated health was assessed using the following question answered on a four-point scale (1=poor; 4=excellent): â€œIn general, how would you rate your overall health?â€!"
Foste2018hort00-7,,,,No,Partially-External,becky it,,"Missing source for smoking and don't say if which quesitonnaires were nurse-led or self-report but link to UK website ""Participants attended one of 22 assessment centres across England, Scotland, and Wales, where they completed touchscreen and nurse-led questionnaires, had physical measurements taken, and provided biological samples.15 All individuals registered with the National Health Service (NHS) aged 40–69 years who were living within 25 miles from one of the 22 study assessment centres were invited to participate; those who responded and had capacity to consent were included. Participants were excluded from analyses if they reported implausible values for physical activity, television viewing time, or sleep duration, defined as the sum of their total physical activity, sleep duration, and total screen time exceeding 24 h. Further details of these measurements can be found in the UK Biobank online protocol.16"""
Harve2018hort3375,,,,Yes (Could Be Partially External.,Partially-External,Partially-External,"""Participants completed a series of touchscreen computer‐based questionnaires followed by a face‐to‐face interview with trained research staff. Details of the assessments and variables are publicly available (http://biobank.ctsu.ox.ac.uk/crystal/), and a transcript of the touchscreen questionnaire may be downloaded (http://www.ukbiobank.ac.uk/wp-content/uploads/2011/06/Touch_screen_questionnaire.pdf?phpMyAdmin=trmKQlYdjjnQIgJ%2CfAzikMhEnx6)."" And igves more detail although it doesn't say qhich question come from interview or questionaire.","Missing what kind of questionnaire used to collect sociodemographic variables but link to transcript of questionnaire ""Participants completed a series of touchscreen computer‐based questionnaires followed by a face‐to‐face interview with trained research staff. Details of the assessments and variables are publicly available (http://biobank.ctsu.ox.ac.uk/crystal/), and a transcript of the touchscreen questionnaire may be downloaded (http://www.ukbiobank.ac.uk/wp-content/uploads/2011/06/Touch_screen_questionnaire.pdf?phpMyAdmin=trmKQlYdjjnQIgJ%2CfAzikMhEnx6). The information collected included sociodemographics (age, sex, ethnicity, educational attainment) and lifestyle factors (including cigarette smoking, diet, physical activity, and alcohol use), medication, and supplement use. Physical activity was documented through the question: “In a typical WEEK, how many days did you do 10 minutes or more of vigorous physical activity? (these are activities that make you sweat or breathe hard such as fast cycling, aerobics, heavy lifting).” Height and weight were measured in all participants by trained data collectors during the clinic attendance using standard operating procedures, and body mass index (BMI) was subsequently calculated (kg/m2). We obtained information on incident hospital admission coded using the International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD‐10) for ischemic heart disease (IHD: I20–I25), myocardial infarction (MI: I21), and death after these events, through linkage to Hospital Episode Statistics and death registry data (Office for National Statistics) with data included up to 10 years after baseline assessment."""
Kim2017tudy.122,,,,Yes,Partially,Partially,in detail for each,"Missing sources of age, ethnicity, smoking, alochol and employment ""Exposures
Grip strength (GS)
GS was assessed once in each hand using a hydraulic hand dynamometer (Jamar J00105, Lafayette, IN, USA), which can measure isometric grip force up to 90 kilograms. The device has good reliability and reproducibility.21 Staff calibrated the device at the start of each measurement day. Each participant was asked to sit upright on a chair with their forearm on the armrest, and then grasp the handle of the device in their right hand. They were required to maintain a 90° angle of their elbow adjacent to their side so that their thumb would face upwards, while squeezing the handle as strongly as possible for ~3 s. The same protocol was performed with the left hand. For the current analysis, we used average values of the two hands; unless the value from only one hand was available (n=233). Sex- and age-specific quintiles of GS were generated for analyses (Supplementary Table 1).

Adiposity measures
Body mass index (BMI) was calculated by dividing measured weight (kg) by measured height squared (m2). Waist circumference (WC) was measured by a tape measure at the level of the umbilicus. For the present analyses, BMI (kg m−2) was categorised as normal weight (18.5–24.9), overweight (25.0–29.9), obesity class I (30.0–34.9) and obesity class II (⩾35.0). A total of 62 men and 373 women who were underweight (BMI<18.5 kg m−2) were excluded from the analyses because of small sample size. Three categories of WC were generated according to the following sex-specific cut points: ⩽79.9 cm, 80.0–87.9 cm and ⩾88.0 cm for women, and ⩽93.9 cm, 94.0–101.9 cm and ⩾102.0 cm for men.22

Physical activity outcomes
Accelerometer data collection
An invitation to participate in the PA sub-study was emailed between February 2013 and December 2015 to 236 519 participants who had given a valid email address upon recruitment. Participants in the North West region who had been involved in other sub-studies were not invited for accelerometer measurement due to the potential participant burden. Enclosed in an envelope, a tri-axial accelerometer (Axivity AX3, Newcastle upon Tyne, UK23) configured to capture three-dimensional acceleration at 100 Hz with a dynamic range of ±8 g was mailed, along with instructions on proper use of the device, to consenting participants, who were asked to start wearing the monitor on the dominant wrist (defined as the hand that participants typically use to write) upon receipt and for the next 7 days. Devices were programmed to start and finish recording at pre-specified times. Participants were requested to send the monitor back to the co-ordinating centre in a provided pre-paid envelope at the end of the 7-day monitoring period....baseline self-reported MVPA"""
Kunzm2018noma.014,Yes,Yes,Yes,,,,,
