"variable","question","qual_var_name","import_num"
"12b_i","_ - 12b_i. Describe any methods used to examine subgroups","Q28_7",119
"12b_i_ev","_ - 12b_i. Describe any methods used to examine subgroups - Text","Q28_7_TEXT",120
"12b_ii","_ - 12b_ii. Describe any methods used to examine interactions","Q28_8",121
"12b_ii_ev","_ - 12b_ii. Describe any methods used to examine interactions - Text","Q28_8_TEXT",122
"12c","_ - 12c. Explain how missing data were addressed","Q28_9",123
"12c_ev","_ - 12c. Explain how missing data were addressed - Text","Q28_9_TEXT",124
"12d_coh","_ - 12d_coh. Cohort study - If applicable, explain how loss to follow-up was addressed","Q29_1",125
"12d_coh_ev","_ - 12d_coh. Cohort study - If applicable, explain how loss to follow-up was addressed - Text","Q29_1_TEXT",126
"12d_cc","_ - 12d_cc. Case-control study-If applicable, explain how matching of cases and controls was addressed","Q30_1",127
"12d_cc_ev","_ - 12d_cc. Case-control study-If applicable, explain how matching of cases and controls was addressed - Text","Q30_1_TEXT",128
"12d_cs","_ - 12d_cs. Cross-sectional study-If applicable, describe analytical methods taking account of sampling strategy","Q31_1",129
"12d_cs_ev","_ - 12d_cs. Cross-sectional study-If applicable, describe analytical methods taking account of sampling strategy - Text","Q31_1_TEXT",130
"12e","_ - 12e. Describe any sensitivity analyses","Q32_1",131
"12e_ev","_ - 12e. Describe any sensitivity analyses - Text","Q32_1_TEXT",132
"13starreda","_ - 13starreda. Report numbers of individuals at each stage of the present study-eg numbers potentially eligible, examined for eligibility, confirmed eligible, included in the study, completing follow-up, and analysed","Q32_2",133
"13starreda_ev","_ - 13starreda. Report numbers of individuals at each stage of the present study-eg numbers potentially eligible, examined for eligibility, confirmed eligible, included in the study, completing follow-up, and analysed - Text","Q32_2_TEXT",134
"13_star_a_cc","_ - 13_star_a_cc. Case-control studies - give the information separately for cases and controls","Q32_3",135
"13_star_a_cc_ev","_ - 13_star_a_cc. Case-control studies - give the information separately for cases and controls - Text","Q32_3_TEXT",136
"13_star_a_coh_cs","_ - 13_star_a_coh_cs. Cohort and cross-sectional studies - give the information separately for exposed and unexposed groups","Q32_4",137
"13_star_a_coh_cs_ev","_ - 13_star_a_coh_cs. Cohort and cross-sectional studies - give the information separately for exposed and unexposed groups - Text","Q32_4_TEXT",138
"13starredb","_ - 13starredb. Give reasons for non-participation at each stage of the present study","Q32_5",139
"13starredb_ev","_ - 13starredb. Give reasons for non-participation at each stage of the present study - Text","Q32_5_TEXT",140
"13_star_b_cc","_ - 13_star_b_cc. Case-control studies - give the information separately for cases and controls","Q32_6",141
"13_star_b_cc_ev","_ - 13_star_b_cc. Case-control studies - give the information separately for cases and controls - Text","Q32_6_TEXT",142
"13_star_b_coh_cs","_ - 13_star_b_coh_cs. Cohort and cross-sectional studies - give the information separately for exposed and unexposed groups","Q32_7",143
"13_star_b_coh_cs_ev","_ - 13_star_b_coh_cs. Cohort and cross-sectional studies - give the information separately for exposed and unexposed groups - Text","Q32_7_TEXT",144
"13starredc","_ - 13starredc. Use a flow diagram if appropriate","Q32_8",145
"13starredc_ev","_ - 13starredc. Use a flow diagram if appropriate - Text","Q32_8_TEXT",146
"13_star_c_cc","_ - 13_star_c_cc. Case-control studies - give the information separately for cases and controls","Q32_9",147
"13_star_c_cc_ev","_ - 13_star_c_cc. Case-control studies - give the information separately for cases and controls - Text","Q32_9_TEXT",148
"13_star_c_coh_cs","_ - 13_star_c_coh_cs. Cohort and cross-sectional studies - give the information separately for exposed and unexposed groups","Q32_10",149
"13_star_c_coh_cs_ev","_ - 13_star_c_coh_cs. Cohort and cross-sectional studies - give the information separately for exposed and unexposed groups - Text","Q32_10_TEXT",150
"14starreda_i","_ - 14starreda_i. Give characteristics of study participants (eg demographic, clinical, social)","Q32_11",151
"14starreda_i_ev","_ - 14starreda_i. Give characteristics of study participants (eg demographic, clinical, social) - Text","Q32_11_TEXT",152
"14_star_a_i_cc","_ - 14_star_a_i_cc. Case-control studies - give the information separately for cases and controls","Q32_12",153
"14_star_a_i_cc_ev","_ - 14_star_a_i_cc. Case-control studies - give the information separately for cases and controls - Text","Q32_12_TEXT",154
"14_star_a_i_coh_cs","_ - 14_star_a_i_coh_cs. Cohort and cross-sectional studies - give the information separately for exposed and unexposed groups","Q32_13",155
"14_star_a_i_coh_cs_ev","_ - 14_star_a_i_coh_cs. Cohort and cross-sectional studies - give the information separately for exposed and unexposed groups - Text","Q32_13_TEXT",156
"14starreda_ii","_ - 14starreda_ii. Give information on exposures and potential confounders","Q32_14",157
"14starreda_ii_ev","_ - 14starreda_ii. Give information on exposures and potential confounders - Text","Q32_14_TEXT",158
"14_star_a_ii_cc","_ - 14_star_a_ii_cc. Case-control studies - give the information separately for cases and controls","Q32_15",159
"14_star_a_ii_cc_ev","_ - 14_star_a_ii_cc. Case-control studies - give the information separately for cases and controls - Text","Q32_15_TEXT",160
"14_star_a_ii_coh_cs","_ - 14_star_a_ii_coh_cs. Cohort and cross-sectional studies - give the information separately for exposed and unexposed groups","Q32_16",161
"14_star_a_ii_coh_cs_ev","_ - 14_star_a_ii_coh_cs. Cohort and cross-sectional studies - give the information separately for exposed and unexposed groups - Text","Q32_16_TEXT",162
"14starredb","_ - 14starredb. Indicate number of participants with missing data for each variable of interest","Q32_17",163
"14starredb_ev","_ - 14starredb. Indicate number of participants with missing data for each variable of interest - Text","Q32_17_TEXT",164
"14_star_b_cc","_ - 14_star_b_cc. Case-control studies - give the information separately for cases and controls","Q32_18",165
"14_star_b_cc_ev","_ - 14_star_b_cc. Case-control studies - give the information separately for cases and controls - Text","Q32_18_TEXT",166
"14_star_b_coh_cs","_ - 14_star_b_coh_cs. Cohort and cross-sectional studies - give the information separately for exposed and unexposed groups","Q32_19",167
"14_star_b_coh_cs_ev","_ - 14_star_b_coh_cs. Cohort and cross-sectional studies - give the information separately for exposed and unexposed groups - Text","Q32_19_TEXT",168
"14starredc_coh","Indicate if the authors report the following items for all the cohort studies in the article - 14starredc_coh. Cohort study - Summarise follow-up time (eg, average and total amount)","Q33_1",169
"14starredc_coh_ev","Indicate if the authors report the following items for all the cohort studies in the article - 14starredc_coh. Cohort study - Summarise follow-up time (eg, average and total amount) - Text","Q33_1_TEXT",170
"14_star_c_coh","Indicate if the authors report the following items for all the cohort studies in the article - 14_star_c_coh. Cohort studies - give the information separately for exposed and unexposed groups","Q33_2",171
"14_star_c_coh_ev","Indicate if the authors report the following items for all the cohort studies in the article - 14_star_c_coh. Cohort studies - give the information separately for exposed and unexposed groups - Text","Q33_2_TEXT",172
"15starred_coh","Indicate if the authors report the following items for all the cohort studies in the article - 15starred_coh. Cohort study-Report numbers of outcome events or summary measures over time","Q33_3",173
"15starred_coh_ev","Indicate if the authors report the following items for all the cohort studies in the article - 15starred_coh. Cohort study-Report numbers of outcome events or summary measures over time - Text","Q33_3_TEXT",174
"15_star_coh","Indicate if the authors report the following items for all the cohort studies in the article - 15_star_coh. Cohort studies - give the information separately for exposed and unexposed groups","Q33_4",175
"15_star_coh_ev","Indicate if the authors report the following items for all the cohort studies in the article - 15_star_coh. Cohort studies - give the information separately for exposed and unexposed groups - Text","Q33_4_TEXT",176
"15starred_cc","Indicate if the authors report the following items for all the case-control studies in the article - 15starred_cc. Case-control study-Report numbers in each exposure category, or summary measures of exposure","Q34_1",177
"15starred_cc_ev","Indicate if the authors report the following items for all the case-control studies in the article - 15starred_cc. Case-control study-Report numbers in each exposure category, or summary measures of exposure - Text","Q34_1_TEXT",178
"15_star_cc","Indicate if the authors report the following items for all the case-control studies in the article - 15_star_cc. Case-control studies - give the information separately for cases and controls","Q34_2",179
"15_star_cc_ev","Indicate if the authors report the following items for all the case-control studies in the article - 15_star_cc. Case-control studies - give the information separately for cases and controls - Text","Q34_2_TEXT",180
"15starred_cs","Indicate if the authors report the following items for all the cross-sectional studies in the article - 15starred_cs. Cross-sectional study-Report numbers of outcome events or summary measures","Q35_1",181
"15starred_cs_ev","Indicate if the authors report the following items for all the cross-sectional studies in the article - 15starred_cs. Cross-sectional study-Report numbers of outcome events or summary measures - Text","Q35_1_TEXT",182
"15_star_cs","Indicate if the authors report the following items for all the cross-sectional studies in the article - 15_star_cs. Cross-sectional studies - give the information separately for exposed and unexposed groups","Q35_2",183
"15_star_cs_ev","Indicate if the authors report the following items for all the cross-sectional studies in the article - 15_star_cs. Cross-sectional studies - give the information separately for exposed and unexposed groups - Text","Q35_2_TEXT",184
"16a_i","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 16a_i. Give unadjusted estimates","Q36_1",185
"16a_i_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 16a_i. Give unadjusted estimates - Text","Q36_1_TEXT",186
"16a_ii","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 16a_ii. If applicable, give confounder-adjusted estimates","Q36_2",187
"16a_ii_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 16a_ii. If applicable, give confounder-adjusted estimates - Text","Q36_2_TEXT",188
"16a_iii","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 16a_iii. If applicable, give the confounder-adjusted estimates' precision (eg, 95% confidence interval)","Q36_3",189
"16a_iii_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 16a_iii. If applicable, give the confounder-adjusted estimates' precision (eg, 95% confidence interval) - Text","Q36_3_TEXT",190
"16a_iv","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 16a_iv. Make clear which confounders were adjusted for","Q36_4",191
"16a_iv_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 16a_iv. Make clear which confounders were adjusted for - Text","Q36_4_TEXT",192
"16a_v","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 16a_v. Make clear why confounders were included","Q36_5",193
"16a_v_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 16a_v. Make clear why confounders were included - Text","Q36_5_TEXT",194
"16b","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 16b. Report category boundaries when continuous variables were categorized","Q36_6",195
"16b_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 16b. Report category boundaries when continuous variables were categorized - Text","Q36_6_TEXT",196
"16c","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 16c. If relevant, consider translating estimates of relative risk into absolute risk for a meaningful time period","Q36_7",197
"16c_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 16c. If relevant, consider translating estimates of relative risk into absolute risk for a meaningful time period - Text","Q36_7_TEXT",198
"17_i","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 17_i. Report analyses of subgroups","Q36_8",199
"17_i_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 17_i. Report analyses of subgroups - Text","Q36_8_TEXT",200
"17_ii","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 17_ii. Report analyses interactions","Q36_9",201
"17_ii_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 17_ii. Report analyses interactions - Text","Q36_9_TEXT",202
"17_iii","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 17_iii. Report sensitivity analyses","Q36_10",203
"17_iii_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 17_iii. Report sensitivity analyses - Text","Q36_10_TEXT",204
"17_iv","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 17_iv. Report other analyses done","Q36_11",205
"17_iv_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 17_iv. Report other analyses done - Text","Q36_11_TEXT",206
"18","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 18. Summarise key results with reference to study objectives","Q36_12",207
"18_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 18. Summarise key results with reference to study objectives - Text","Q36_12_TEXT",208
"19_i","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 19_i. Discuss limitations of the study, taking into account sources of potential bias or imprecision","Q36_13",209
"19_i_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 19_i. Discuss limitations of the study, taking into account sources of potential bias or imprecision - Text","Q36_13_TEXT",210
"19_ii","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 19_ii. Discuss both direction and magnitude of any potential bias","Q36_14",211
"19_ii_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 19_ii. Discuss both direction and magnitude of any potential bias - Text","Q36_14_TEXT",212
"20","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 20. Give a cautious overall interpretation of results considering objectives, limitations, multiplicity of analyses, results from similar studies, and other relevant evidence","Q36_15",213
"20_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 20. Give a cautious overall interpretation of results considering objectives, limitations, multiplicity of analyses, results from similar studies, and other relevant evidence - Text","Q36_15_TEXT",214
"21","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 21. Discuss the generalisability (external validity) of the study results","Q36_16",215
"21_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 21. Discuss the generalisability (external validity) of the study results - Text","Q36_16_TEXT",216
"22_i","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 22_i. Give the source of funding for the present study","Q36_17",217
"22_i_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 22_i. Give the source of funding for the present study - Text","Q36_17_TEXT",218
"22_ii","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 22_ii. Give the the role of the funders for the present study","Q36_18",219
"22_ii_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 22_ii. Give the the role of the funders for the present study - Text","Q36_18_TEXT",220
"22_iii","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 22_iii. If applicable, give the source of funding for the original study on which the present article is based","Q36_19",221
"22_iii_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 22_iii. If applicable, give the source of funding for the original study on which the present article is based - Text","Q36_19_TEXT",222
"22_iv","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 22_iv. If applicable, give the the role of the funders for the original study on which the present article is based","Q36_20",223
"22_iv_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 22_iv. If applicable, give the the role of the funders for the original study on which the present article is based - Text","Q36_20_TEXT",224
"comments","comments.","Q37",225
"email","email. Corresponding author's email (Search article for ‘corresponding’, ‘@’)","Q38",226
"country","country. Extract country from corresponding author’s affiliations","Q39",227
"ukb_app","ukb_app. UK Biobank application number (Search article for all these terms: ‘application’ , ‘approv’ , ‘number’ , ‘Resource’. If not found examine any strings of numbers in article)","Q40",228
"keywords","keywords. Author keywords (Extract from page 1. If not on page 1 search article for ‘keywords’)","Q41",229
"coi","coi. Conflict of interest statement (Search article material for all these   terms: ‘competing’, ‘interest’ ,‘conflict’ , ‘disclosure’","Q42",230
"Q22_89_TEXT - Parent Topics","Q22_89_TEXT - Parent Topics","Q22_89_TEXT - Parent Topics",231
"Q22_89_TEXT - Topics","Q22_89_TEXT - Topics","Q22_89_TEXT - Topics",232
